CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,TechSupport,MonthlyCharges,TotalCharges,Churn
C00001,Male,0,No,No,9,Fiber optic,One year,Electronic check,No,124.62,1117.5,Yes
C00002,Female,0,Yes,No,2,DSL,Month-to-month,Electronic check,No,52.85,141.55,Yes
C00003,Female,0,Yes,No,63,DSL,Two year,Electronic check,Yes,46.44,2969.8,No
C00004,Female,0,No,No,5,Fiber optic,Month-to-month,Electronic check,No,62.97,313.81,No
C00005,Male,0,Yes,No,20,Fiber optic,One year,Electronic check,No,77.07,1507.18,No
C00006,Male,0,No,Yes,8,Fiber optic,One year,Electronic check,No,113.06,999.1,No
C00007,Male,0,Yes,Yes,22,No,One year,Electronic check,Yes,31.88,762.33,No
C00008,Female,0,No,No,29,DSL,Month-to-month,Mailed check,No,77.79,2088.94,Yes
C00009,Female,0,No,No,27,Fiber optic,One year,Mailed check,No,90.52,2406.42,No
C00010,Female,0,No,Yes,1,DSL,Month-to-month,Electronic check,No,55.92,54.21,No
C00011,Male,1,No,Yes,24,Fiber optic,Month-to-month,Credit card (automatic),No,93.42,2296.85,Yes
C00012,Female,0,Yes,No,27,DSL,Two year,Bank transfer (automatic),No,48.79,1238.01,No
C00013,Female,1,No,Yes,33,DSL,Two year,Bank transfer (automatic),No,67.84,2194.55,No
C00014,Male,0,No,No,22,DSL,One year,Credit card (automatic),No,72.16,1595.68,No
C00015,Male,0,Yes,No,10,DSL,Month-to-month,Electronic check,Yes,71.96,747.63,No
C00016,Male,0,Yes,No,9,No,One year,Mailed check,No,22.53,188.57,No
C00017,Male,0,Yes,No,20,Fiber optic,Month-to-month,Mailed check,No,99.51,2025.5,Yes
C00018,Female,0,No,Yes,11,No,Month-to-month,Mailed check,No,15.0,157.62,No
C00019,Male,0,Yes,No,13,Fiber optic,One year,Electronic check,No,93.78,1162.76,No
C00020,Male,0,Yes,Yes,2,DSL,Month-to-month,Credit card (automatic),No,63.34,161.95,No
C00021,Female,0,No,No,54,DSL,Two year,Electronic check,No,51.62,2840.06,No
C00022,Male,0,No,No,12,DSL,Month-to-month,Credit card (automatic),No,46.8,629.86,Yes
C00023,Male,1,No,No,24,DSL,Month-to-month,Bank transfer (automatic),No,59.07,1375.06,No
C00024,Male,0,Yes,No,14,Fiber optic,One year,Bank transfer (automatic),No,85.84,1249.45,No
C00025,Male,0,Yes,Yes,20,Fiber optic,One year,Electronic check,Yes,77.47,1587.36,No
C00026,Female,0,Yes,Yes,11,Fiber optic,Month-to-month,Mailed check,No,69.41,874.77,No
C00027,Male,1,No,No,9,DSL,Month-to-month,Electronic check,No,70.11,599.28,No
C00028,Female,1,No,No,32,DSL,One year,Electronic check,No,71.61,2316.07,No
C00029,Female,0,No,No,20,DSL,Month-to-month,Credit card (automatic),Yes,85.18,1721.48,No
C00030,Male,0,No,No,3,DSL,Month-to-month,Mailed check,No,51.97,93.78,No
C00031,Female,0,Yes,No,12,Fiber optic,One year,Mailed check,No,85.78,1117.71,No
